Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
CheckAvails,2327,1038,852,942,1030,7352,628,7735,0.043%,.95457,812.47,102.78
TOTAL,2327,1038,852,942,1030,7352,628,7735,0.043%,.95457,812.47,102.78
