timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1644502018277,851,CheckAvails,200,,RequestGroup 1-1,text,true,,485594,110299,1,1,http://65.0.127.126:8080/avails/fetch,730,0,0
1644502019133,840,CheckAvails,200,,RequestGroup 1-1,text,true,,485944,110299,1,1,http://65.0.127.126:8080/avails/fetch,709,0,0
1644502019976,837,CheckAvails,200,,RequestGroup 1-1,text,true,,485655,110299,1,1,http://65.0.127.126:8080/avails/fetch,708,0,0
1644502020815,839,CheckAvails,200,,RequestGroup 1-1,text,true,,485975,110299,1,1,http://65.0.127.126:8080/avails/fetch,707,0,0
1644502021657,838,CheckAvails,200,,RequestGroup 1-1,text,true,,485802,110299,1,1,http://65.0.127.126:8080/avails/fetch,715,0,0
1644502022497,819,CheckAvails,200,,RequestGroup 1-1,text,true,,485649,110299,1,1,http://65.0.127.126:8080/avails/fetch,688,0,0
1644502023318,832,CheckAvails,200,,RequestGroup 1-1,text,true,,485594,110299,1,1,http://65.0.127.126:8080/avails/fetch,703,0,0
1644502024156,828,CheckAvails,200,,RequestGroup 1-1,text,true,,486203,110299,1,1,http://65.0.127.126:8080/avails/fetch,688,0,0
1644502024990,840,CheckAvails,200,,RequestGroup 1-1,text,true,,486445,110299,1,1,http://65.0.127.126:8080/avails/fetch,703,0,0
1644502025860,845,CheckAvails,200,,RequestGroup 1-1,text,true,,486281,110299,1,1,http://65.0.127.126:8080/avails/fetch,715,0,0
1644502026707,818,CheckAvails,200,,RequestGroup 1-1,text,true,,485775,110299,1,1,http://65.0.127.126:8080/avails/fetch,694,0,0
1644502027533,855,CheckAvails,200,,RequestGroup 1-1,text,true,,486717,110299,1,1,http://65.0.127.126:8080/avails/fetch,724,0,0
1644502028390,835,CheckAvails,200,,RequestGroup 1-1,text,true,,486450,110299,1,1,http://65.0.127.126:8080/avails/fetch,705,0,0
1644502029227,816,CheckAvails,200,,RequestGroup 1-1,text,true,,485472,110299,1,1,http://65.0.127.126:8080/avails/fetch,687,0,0
1644502030047,1207,CheckAvails,200,,RequestGroup 1-1,text,true,,486252,110299,1,1,http://65.0.127.126:8080/avails/fetch,940,0,57
1644502031261,883,CheckAvails,200,,RequestGroup 1-1,text,true,,486554,110299,1,1,http://65.0.127.126:8080/avails/fetch,756,0,0
1644502032151,802,CheckAvails,200,,RequestGroup 1-1,text,true,,486317,110299,1,1,http://65.0.127.126:8080/avails/fetch,690,0,0
1644502032956,810,CheckAvails,200,,RequestGroup 1-1,text,true,,485992,110299,1,1,http://65.0.127.126:8080/avails/fetch,698,0,0
1644502033771,801,CheckAvails,200,,RequestGroup 1-1,text,true,,485552,110299,1,1,http://65.0.127.126:8080/avails/fetch,691,0,0
1644502034580,816,CheckAvails,200,,RequestGroup 1-1,text,true,,485580,110299,1,1,http://65.0.127.126:8080/avails/fetch,710,0,0
1644502035400,793,CheckAvails,200,,RequestGroup 1-1,text,true,,486053,110299,1,1,http://65.0.127.126:8080/avails/fetch,682,0,0
1644502036197,844,CheckAvails,200,,RequestGroup 1-1,text,true,,486103,110299,1,1,http://65.0.127.126:8080/avails/fetch,733,0,0
1644502037048,814,CheckAvails,200,,RequestGroup 1-1,text,true,,486135,110299,1,1,http://65.0.127.126:8080/avails/fetch,702,0,0
1644502037867,827,CheckAvails,200,,RequestGroup 1-1,text,true,,486111,110299,1,1,http://65.0.127.126:8080/avails/fetch,720,0,0
1644502038703,827,CheckAvails,200,,RequestGroup 1-1,text,true,,485556,110299,1,1,http://65.0.127.126:8080/avails/fetch,715,0,0
1644502039542,822,CheckAvails,200,,RequestGroup 1-1,text,true,,485330,110299,1,1,http://65.0.127.126:8080/avails/fetch,714,0,0
1644502040371,823,CheckAvails,200,,RequestGroup 1-1,text,true,,486204,110299,1,1,http://65.0.127.126:8080/avails/fetch,717,0,0
1644502041200,823,CheckAvails,200,,RequestGroup 1-1,text,true,,486897,110299,1,1,http://65.0.127.126:8080/avails/fetch,716,0,0
1644502042026,824,CheckAvails,200,,RequestGroup 1-1,text,true,,485772,110299,1,1,http://65.0.127.126:8080/avails/fetch,716,0,0
1644502042855,791,CheckAvails,200,,RequestGroup 1-1,text,true,,486298,110299,1,1,http://65.0.127.126:8080/avails/fetch,683,0,0
1644502043650,815,CheckAvails,200,,RequestGroup 1-1,text,true,,485768,110299,1,1,http://65.0.127.126:8080/avails/fetch,708,0,0
1644502044474,800,CheckAvails,200,,RequestGroup 1-1,text,true,,485470,110299,1,1,http://65.0.127.126:8080/avails/fetch,691,0,0
1644502045283,804,CheckAvails,200,,RequestGroup 1-1,text,true,,485580,110299,1,1,http://65.0.127.126:8080/avails/fetch,698,0,0
1644502046093,795,CheckAvails,200,,RequestGroup 1-1,text,true,,486352,110299,1,1,http://65.0.127.126:8080/avails/fetch,687,0,0
1644502046893,7294,CheckAvails,200,,RequestGroup 1-1,text,true,,15331965,110299,1,1,http://65.0.127.126:8080/avails/fetch,1531,0,0
1644502054192,908,CheckAvails,200,,RequestGroup 1-1,text,true,,486158,110299,1,1,http://65.0.127.126:8080/avails/fetch,764,0,0
1644502055133,854,CheckAvails,200,,RequestGroup 1-1,text,true,,485457,110299,1,1,http://65.0.127.126:8080/avails/fetch,728,0,0
1644502055992,857,CheckAvails,200,,RequestGroup 1-1,text,true,,486265,110299,1,1,http://65.0.127.126:8080/avails/fetch,722,0,0
